32000,1995-10-31 00:00:00Z,MK43 9AH,Semi-Detached,Established,Leasehold,THE ELMS,FLAT 3,WOBURN ROAD,KEMPSTON HARDWICK,BEDFORD,NORTH BEDFORDSHIRE,BEDFORDSHIRE,Standard,Addition,52.0966570000,-0.5107220000
214950,2014-04-25 00:00:00Z,MK43 9AU,Semi-Detached,New Build,Freehold,2,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
315000,2014-05-30 00:00:00Z,MK43 9AZ,Detached,New Build,Freehold,9,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
397995,2014-06-27 00:00:00Z,MK43 9AZ,Detached,New Build,Freehold,17,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
390000,2014-06-30 00:00:00Z,MK43 9AZ,Detached,New Build,Freehold,29,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
399995,2014-08-07 00:00:00Z,MK43 9AZ,Detached,New Build,Freehold,23,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
335000,2014-06-27 00:00:00Z,MK43 9AZ,Detached,New Build,Freehold,21,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
199950,2014-08-29 00:00:00Z,MK43 9BQ,Semi-Detached,New Build,Freehold,2,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
180000,2014-04-11 00:00:00Z,MK43 9AU,Semi-Detached,New Build,Freehold,14,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
247500,2014-03-28 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,37,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
249950,2014-06-27 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,49,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
294950,2014-06-26 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,55,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
349995,2014-06-27 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,47,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
389950,2014-06-27 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,57,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
180000,2014-04-24 00:00:00Z,MK43 9AU,Semi-Detached,New Build,Freehold,12,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
306415,2014-06-30 00:00:00Z,MK43 9AZ,Detached,New Build,Freehold,27,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
378300,2014-10-24 00:00:00Z,MK43 9AZ,Detached,New Build,Freehold,25,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
344995,2014-03-26 00:00:00Z,MK43 9AZ,Detached,New Build,Freehold,5,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
25910,2015-10-30 00:00:00Z,MK43 9FX,Semi-Detached,New Build,Freehold,4,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Additional,Addition,52.0969630000,-0.5192960000
284950,2016-11-11 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,87,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
230000,2016-05-27 00:00:00Z,MK43 9BQ,Semi-Detached,Established,Freehold,12,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
469995,2016-06-20 00:00:00Z,MK43 9FY,Detached,New Build,Freehold,1,,TYSOE CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0967420000,-0.5184050000
284995,2016-06-30 00:00:00Z,MK43 9FX,Detached,New Build,Freehold,16,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
284950,2016-08-31 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,71,,FOLKES ROAD,WOOTTON,ABINGDON,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
339950,2016-08-30 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,73,,FOLKES ROAD,WOOTTON,ABINGDON,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
250000,2016-02-05 00:00:00Z,MK43 9AZ,Semi-Detached,Established,Freehold,1,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
269995,2016-02-15 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,61,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
274995,2016-02-29 00:00:00Z,MK43 9FX,Detached,New Build,Freehold,10,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
219995,2016-08-26 00:00:00Z,MK43 9FX,Semi-Detached,New Build,Freehold,5,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
304995,2016-09-27 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,69,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
289950,2016-09-30 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,91,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
284950,2016-09-30 00:00:00Z,MK43 9BY,Detached,New Build,Freehold,89,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
459000,2016-09-30 00:00:00Z,MK43 9BQ,Detached,Established,Freehold,6,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
359995,2016-06-27 00:00:00Z,MK43 9FX,Detached,New Build,Freehold,14,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
287995,2016-06-30 00:00:00Z,MK43 9FX,Detached,New Build,Freehold,18,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
479995,2016-06-30 00:00:00Z,MK43 9FY,Detached,New Build,Freehold,4,,TYSOE CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0967420000,-0.5184050000
357995,2016-06-24 00:00:00Z,MK43 9FY,Detached,New Build,Freehold,3,,TYSOE CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0967420000,-0.5184050000
412995,2016-07-28 00:00:00Z,MK43 9FX,Detached,New Build,Freehold,11,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
