32000,1995-10-31 00:00:00Z,MK43 9AH,Semi-Detached,Established,Leasehold,THE ELMS,FLAT 3,WOBURN ROAD,KEMPSTON HARDWICK,BEDFORD,NORTH BEDFORDSHIRE,BEDFORDSHIRE,Standard,Addition,52.0966570000,-0.5107220000
411450,2017-12-20 00:00:00Z,MK43 9PT,Detached,New Build,Freehold,4,,STEVENSON WALK,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0951080000,-0.5162190000
220995,2017-12-21 00:00:00Z,MK43 9PU,Semi-Detached,New Build,Freehold,20,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
304950,2017-11-28 00:00:00Z,MK43 9PT,Detached,New Build,Freehold,13,,STEVENSON WALK,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0951080000,-0.5162190000
304950,2017-06-30 00:00:00Z,MK43 9GY,Detached,New Build,Freehold,12,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
299950,2017-06-30 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,17,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
429950,2017-08-25 00:00:00Z,MK43 9GY,Detached,New Build,Freehold,20,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
359950,2017-08-25 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,31,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
240000,2017-05-31 00:00:00Z,MK43 9AU,Semi-Detached,Established,Freehold,10,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
240000,2017-05-15 00:00:00Z,MK43 9AU,Semi-Detached,Established,Freehold,12,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
432995,2017-10-06 00:00:00Z,MK43 9PT,Semi-Detached,New Build,Freehold,17,,STEVENSON WALK,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0951080000,-0.5162190000
417950,2017-06-30 00:00:00Z,MK43 9GY,Detached,New Build,Freehold,18,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
414950,2017-09-22 00:00:00Z,MK43 9GY,Semi-Detached,New Build,Freehold,14,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
364950,2017-10-31 00:00:00Z,MK43 9PT,Detached,New Build,Freehold,3,,STEVENSON WALK,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0951080000,-0.5162190000
212950,2017-10-31 00:00:00Z,MK43 9AQ,Semi-Detached,New Build,Freehold,42,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
302950,2017-10-31 00:00:00Z,MK43 9PT,Detached,New Build,Freehold,9,,STEVENSON WALK,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0951080000,-0.5162190000
489995,2017-02-01 00:00:00Z,MK43 9FX,Detached,New Build,Freehold,15,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
294950,2017-03-31 00:00:00Z,MK43 9GY,Detached,New Build,Freehold,3,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
325000,2017-09-29 00:00:00Z,MK43 9AU,Detached,Established,Freehold,6,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
359950,2017-05-31 00:00:00Z,MK43 9GY,Detached,New Build,Freehold,9,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
299950,2017-06-30 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,15,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
299950,2017-06-30 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,23,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
419950,2017-08-31 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,35,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
359995,2017-09-29 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,29,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
429950,2017-09-29 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,33,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
302950,2017-11-24 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,52,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
280000,2017-10-31 00:00:00Z,MK43 9AZ,Semi-Detached,Established,Freehold,4,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
535000,2017-12-08 00:00:00Z,MK43 9AZ,Detached,Established,Freehold,23,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
299950,2017-09-29 00:00:00Z,MK43 9PT,Semi-Detached,New Build,Freehold,15,,STEVENSON WALK,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0951080000,-0.5162190000
416950,2017-12-20 00:00:00Z,MK43 9PU,Detached,New Build,Freehold,9,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
299950,2017-06-30 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,28,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
312950,2017-12-20 00:00:00Z,MK43 9PT,Detached,New Build,Freehold,2,,STEVENSON WALK,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0951080000,-0.5162190000
243950,2017-12-15 00:00:00Z,MK43 9AQ,Semi-Detached,New Build,Freehold,46,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
220995,2017-12-21 00:00:00Z,MK43 9PU,Semi-Detached,New Build,Freehold,18,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
307950,2017-11-24 00:00:00Z,MK43 9PT,Detached,New Build,Freehold,1,,STEVENSON WALK,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0951080000,-0.5162190000
245950,2017-12-15 00:00:00Z,MK43 9AQ,Semi-Detached,New Build,Freehold,48,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
310000,2017-04-13 00:00:00Z,MK43 9BY,Detached,Established,Freehold,45,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
409950,2017-06-30 00:00:00Z,MK43 9GY,Detached,New Build,Freehold,8,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
414950,2017-06-29 00:00:00Z,MK43 9GY,Detached,New Build,Freehold,16,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
243950,2017-03-31 00:00:00Z,MK43 9GY,Semi-Detached,New Build,Freehold,2,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
304995,2017-03-31 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,19,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
243950,2017-03-31 00:00:00Z,MK43 9GY,Semi-Detached,New Build,Freehold,4,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
299950,2017-03-31 00:00:00Z,MK43 9GY,Detached,New Build,Freehold,1,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
241950,2017-04-21 00:00:00Z,MK43 9GY,Semi-Detached,New Build,Freehold,7,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
241950,2017-04-21 00:00:00Z,MK43 9GY,Semi-Detached,New Build,Freehold,5,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
280000,2017-01-13 00:00:00Z,MK43 9BY,Semi-Detached,Established,Freehold,35,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
212950,2017-10-31 00:00:00Z,MK43 9AQ,Semi-Detached,New Build,Freehold,44,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
364950,2017-10-31 00:00:00Z,MK43 9PT,Detached,New Build,Freehold,5,,STEVENSON WALK,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0951080000,-0.5162190000
304950,2017-10-31 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,40,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
362950,2017-10-31 00:00:00Z,MK43 9PT,Detached,New Build,Freehold,11,,STEVENSON WALK,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0951080000,-0.5162190000
295000,2017-11-30 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,50,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
304990,2017-06-30 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,27,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
299950,2017-07-27 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,25,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
404950,2017-07-14 00:00:00Z,MK43 9GY,Detached,New Build,Freehold,10,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
304950,2017-05-31 00:00:00Z,MK43 9GY,Detached,New Build,Freehold,6,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
219995,2018-02-28 00:00:00Z,MK43 9PU,Semi-Detached,New Build,Freehold,24,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
265995,2018-06-20 00:00:00Z,MK43 9PU,Semi-Detached,New Build,Freehold,8,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
299995,2018-04-30 00:00:00Z,MK43 9PU,Detached,New Build,Freehold,14,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
305000,2018-09-21 00:00:00Z,MK43 9BY,Detached,Established,Freehold,37,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Additional,Addition,52.0953420000,-0.5190730000
265995,2018-09-27 00:00:00Z,MK43 9AZ,Semi-Detached,New Build,Freehold,33,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
265995,2018-09-27 00:00:00Z,MK43 9AZ,Semi-Detached,New Build,Freehold,31,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
299995,2018-06-08 00:00:00Z,MK43 9PU,Detached,New Build,Freehold,12,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
265995,2018-06-29 00:00:00Z,MK43 9PU,Semi-Detached,New Build,Freehold,6,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
265995,2018-08-31 00:00:00Z,MK43 9PU,Semi-Detached,New Build,Freehold,2,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
304995,2018-08-30 00:00:00Z,MK43 9PU,Detached,New Build,Freehold,10,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
265995,2018-08-31 00:00:00Z,MK43 9PU,Semi-Detached,New Build,Freehold,4,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
221624,2018-06-12 00:00:00Z,MK43 9BY,Other,New Build,Freehold,15,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Additional,Addition,52.0953420000,-0.5190730000
335000,2018-12-19 00:00:00Z,MK43 9AQ,Detached,Established,Freehold,4,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
219995,2018-02-28 00:00:00Z,MK43 9PU,Semi-Detached,New Build,Freehold,22,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
309950,2018-01-30 00:00:00Z,MK43 9PU,Detached,New Build,Freehold,16,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
535000,2018-10-17 00:00:00Z,MK43 9FY,Detached,Established,Freehold,11,,TYSOE CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0967420000,-0.5184050000
396000,2019-09-27 00:00:00Z,MK43 9BY,Detached,Established,Freehold,47,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
308000,2019-11-29 00:00:00Z,MK43 9PU,Detached,Established,Freehold,14,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
305000,2019-02-04 00:00:00Z,MK43 9BY,Detached,Established,Freehold,37,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
245000,2019-02-28 00:00:00Z,MK43 9AU,Semi-Detached,Established,Freehold,10,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
299000,2019-02-22 00:00:00Z,MK43 9BY,Detached,Established,Freehold,91,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
336000,2019-04-18 00:00:00Z,MK43 9AU,Detached,Established,Freehold,4,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
330000,2019-05-02 00:00:00Z,MK43 9BY,Detached,Established,Freehold,51,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
255000,2019-10-16 00:00:00Z,MK43 9AQ,Semi-Detached,Established,Freehold,46,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
385000,2019-12-13 00:00:00Z,MK43 9BY,Detached,Established,Freehold,55,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
270000,2019-07-16 00:00:00Z,MK43 9BQ,Semi-Detached,Established,Freehold,7,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
478000,2019-12-06 00:00:00Z,MK43 9FX,Detached,Established,Freehold,17,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
296500,2019-01-25 00:00:00Z,MK43 9AQ,Detached,Established,Freehold,2,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
317500,2019-07-19 00:00:00Z,MK43 9GY,Detached,Established,Freehold,3,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
300000,2019-12-05 00:00:00Z,MK43 9AZ,Detached,Established,Freehold,19,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Additional,Addition,52.0950350000,-0.5184620000
340000,2019-12-20 00:00:00Z,MK43 9GY,Detached,Established,Freehold,1,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Additional,Addition,52.0960760000,-0.5166980000
252500,2019-01-11 00:00:00Z,MK43 9GY,Semi-Detached,Established,Freehold,5,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
237500,2020-05-27 00:00:00Z,MK43 9PU,Semi-Detached,Established,Freehold,3,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
290000,2020-10-23 00:00:00Z,MK43 9BY,Semi-Detached,Established,Freehold,35,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
263000,2020-10-16 00:00:00Z,MK43 9BQ,Semi-Detached,Established,Freehold,2,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
375500,2020-12-14 00:00:00Z,MK43 9BY,Detached,Established,Freehold,53,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
245000,2020-08-28 00:00:00Z,MK43 9BQ,Semi-Detached,Established,Freehold,3,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
325000,2020-07-09 00:00:00Z,MK43 9BY,Detached,Established,Freehold,45,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
285000,2020-07-31 00:00:00Z,MK43 9PU,Detached,Established,Freehold,10,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
325000,2020-04-20 00:00:00Z,MK43 9GY,Detached,Established,Freehold,1,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
255000,2020-07-31 00:00:00Z,MK43 9AZ,Semi-Detached,Established,Freehold,31,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
406000,2021-06-29 00:00:00Z,MK43 9BY,Detached,Established,Freehold,71,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
265000,2021-03-12 00:00:00Z,MK43 9GY,Semi-Detached,Established,Freehold,4,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
327500,2021-06-29 00:00:00Z,MK43 9PU,Detached,Established,Freehold,10,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
85000,2021-07-30 00:00:00Z,MK43 9BY,Flats/Maisonettes,Established,Leasehold,19,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
255000,2021-12-09 00:00:00Z,MK43 9AU,Semi-Detached,Established,Freehold,14,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0941890000,-0.5182200000
350000,2021-11-26 00:00:00Z,MK43 9AQ,Detached,Established,Freehold,17,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
365500,2021-10-22 00:00:00Z,MK43 9PU,Detached,Established,Freehold,14,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
397500,2021-04-21 00:00:00Z,MK43 9BQ,Detached,Established,Freehold,8,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
500000,2021-03-26 00:00:00Z,MK43 9AZ,Detached,Established,Freehold,25,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
114000,2021-04-01 00:00:00Z,MK43 9AQ,Terraced,Established,Leasehold,12,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
122500,2021-05-28 00:00:00Z,MK43 9PS,Terraced,Established,Leasehold,5,,WINDED,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955040000,-0.5161910000
497000,2021-02-05 00:00:00Z,MK43 9AZ,Detached,Established,Freehold,15,,PARKER ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0950350000,-0.5184620000
270000,2021-05-17 00:00:00Z,MK43 9BQ,Semi-Detached,Established,Freehold,13,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
395000,2022-03-25 00:00:00Z,MK43 9FX,Detached,Established,Freehold,9,,SIMMS CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0969630000,-0.5192960000
