68000,1997-05-16 00:00:00Z,DL2 2SY,Semi-Detached,Established,Freehold,CANNYWELL,,DALTON ROAD,CROFT ON TEES,DARLINGTON,RICHMONDSHIRE,NORTH YORKSHIRE,Standard,Addition,54.4764070000,-1.5554890000
261250,2017-10-31 00:00:00Z,DL2 2NP,Detached,Established,Freehold,JUNAKEN,,NORTHALLERTON ROAD,DALTON ON TEES,DARLINGTON,RICHMONDSHIRE,NORTH YORKSHIRE,Additional,Addition,54.4749140000,-1.5534130000
281000,2018-01-26 00:00:00Z,DL2 2NP,Detached,Established,Freehold,JUNAKEN,,NORTHALLERTON ROAD,DALTON ON TEES,DARLINGTON,RICHMONDSHIRE,NORTH YORKSHIRE,Standard,Addition,54.4749140000,-1.5534130000
