58000,1995-09-25 00:00:00Z,CA5 6QL,Detached,Established,Freehold,43,,WHINNOW ROAD,THURSBY,CARLISLE,ALLERDALE,CUMBRIA,Standard,Addition,54.8509410000,-3.0852400000
60000,2001-01-20 00:00:00Z,CA7 0JY,Terraced,Established,Freehold,FERN LEA HARDCAKE,,,AIKTON,WIGTON,ALLERDALE,CUMBRIA,Standard,Addition,54.8553640000,-3.0887730000
68500,2002-06-28 00:00:00Z,CA7 0JY,Semi-Detached,Established,Freehold,"SUNNYSIDE,HARDCAKE",,,AIKTON,WIGTON,ALLERDALE,CUMBRIA,Standard,Addition,54.8553640000,-3.0887730000
205000,2007-08-30 00:00:00Z,CA7 0JY,Terraced,Established,Freehold,FERN LEA HARDCAKE,,,AIKTON,WIGTON,ALLERDALE,CUMBRIA,Standard,Addition,54.8553640000,-3.0887730000
100000,2009-05-15 00:00:00Z,CA7 0JY,Semi-Detached,Established,Freehold,"SUNNYSIDE,HARDCAKE",,,AIKTON,WIGTON,ALLERDALE,CUMBRIA,Standard,Addition,54.8553640000,-3.0887730000
224500,2010-08-04 00:00:00Z,CA7 0JZ,Detached,Established,Freehold,BROADACRE,,,THORNBY MOOR,WIGTON,ALLERDALE,CUMBRIA,Standard,Addition,54.8534540000,-3.0886100000
128000,2014-03-14 00:00:00Z,CA7 0JY,Semi-Detached,Established,Freehold,"SUNNYSIDE,HARDCAKE",,,AIKTON,WIGTON,ALLERDALE,CUMBRIA,Standard,Addition,54.8553640000,-3.0887730000
270000,2014-09-26 00:00:00Z,CA7 0JZ,Detached,Established,Freehold,BROADACRE,,,THORNBY MOOR,WIGTON,ALLERDALE,CUMBRIA,Standard,Addition,54.8534540000,-3.0886100000
145000,2017-04-13 00:00:00Z,CA7 0JY,Terraced,Established,Freehold,FERN LEA HARDCAKE,,,AIKTON,WIGTON,ALLERDALE,CUMBRIA,Standard,Addition,54.8553640000,-3.0887730000
