150000,2003-11-28 00:00:00Z,PR3 0LT,Detached,Established,Freehold,OVERLEA,,STATION LANE,NATEBY,PRESTON,WYRE,LANCASHIRE,Standard,Addition,53.9078500000,-2.8248610000
120000,2018-11-19 00:00:00Z,PR3 0LH,Other,Established,Freehold,FOWLERS FARM,,BLACK LANE,NATEBY,PRESTON,WYRE,LANCASHIRE,Additional,Addition,53.9048240000,-2.8276270000
112000,2019-01-19 00:00:00Z,PR3 0LU,Other,Established,Freehold,NATEBY TECHNOLOGY PARK,SHIELD HOUSE,CARTMELL LANE,NATEBY,PRESTON,WYRE,LANCASHIRE,Additional,Addition,53.9040350000,-2.8247960000
417235,2019-06-27 00:00:00Z,PR3 0LH,Other,Established,Freehold,BLACK LANE HEAD FARM,LOT 1-3,BLACK LANE,NATEBY,PRESTON,WYRE,LANCASHIRE,Additional,Addition,53.9048240000,-2.8276270000
165000,2020-11-20 00:00:00Z,PR3 0LU,Other,Established,Freehold,NATEBY TECHNOLOGY PARK,11 BROCK HOUSE,CARTMELL LANE,NATEBY,PRESTON,WYRE,LANCASHIRE,Additional,Addition,53.9040350000,-2.8247960000
