450000,2007-10-22 00:00:00Z,WA15 0PS,Detached,Established,Freehold,ST. MARYS & ALL SAINTS CHURCH,,SUNBANK LANE,RINGWAY,ALTRINCHAM,MANCHESTER,GREATER MANCHESTER,Standard,Addition,53.3587190000,-2.2884440000
12800000,2016-08-15 00:00:00Z,M90 5AE,Other,Established,Leasehold,WESTERN MAINTENANCE AREA,HANGAR 5,,MANCHESTER AIRPORT,MANCHESTER,MANCHESTER,GREATER MANCHESTER,Additional,Addition,53.3569960000,-2.2833090000
1965000,2019-05-26 00:00:00Z,WA15 8XJ,Other,Established,Leasehold,THE ROMPER,,WILMSLOW ROAD,RINGWAY,ALTRINCHAM,MANCHESTER,GREATER MANCHESTER,Additional,Addition,53.3589620000,-2.2888520000
20000,2020-02-18 00:00:00Z,M90 5FL,Other,Established,Leasehold,WESTERN MAINTENANCE AREA,HANGAR 1,,MANCHESTER AIRPORT,MANCHESTER,MANCHESTER,GREATER MANCHESTER,Additional,Addition,53.3591220000,-2.2819570000
140000,2020-02-18 00:00:00Z,M90 5FL,Other,Established,Leasehold,WESTERN MAINTENANCE AREA,HANGAR 1,,MANCHESTER AIRPORT,MANCHESTER,MANCHESTER,GREATER MANCHESTER,Additional,Addition,53.3591220000,-2.2819570000
