513000,2018-03-20 00:00:00Z,NN9 5FP,Detached,Established,Freehold,3,,HARDWICK LODGE LANE,HARDWICK,WELLINGBOROUGH,WELLINGBOROUGH,NORTHAMPTONSHIRE,Standard,Addition,52.3228930000,-0.7734340000
455000,2020-07-22 00:00:00Z,NN9 5FP,Other,Established,Freehold,1,,HARDWICK LODGE LANE,HARDWICK,WELLINGBOROUGH,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Additional,Addition,52.3228930000,-0.7734340000
500000,2021-06-24 00:00:00Z,NN9 5FP,Other,Established,Freehold,2,,HARDWICK LODGE LANE,HARDWICK,WELLINGBOROUGH,NORTH NORTHAMPTONSHIRE,NORTH NORTHAMPTONSHIRE,Additional,Addition,52.3228930000,-0.7734340000
