37000,1998-01-16 00:00:00Z,PL26 8BY,Detached,New Build,Freehold,DOMELLICK BARN,,,ST DENNIS,ST. AUSTELL,RESTORMEL,CORNWALL,Standard,Addition,50.3908940000,-4.8949920000
610000,2017-01-12 00:00:00Z,PL26 8BY,Other,Established,Freehold,DOMELLICK FARM,,,ST DENNIS,ST AUSTELL,CORNWALL,CORNWALL,Additional,Addition,50.3908940000,-4.8949920000
450000,2018-07-23 00:00:00Z,PL26 8BY,Other,Established,Freehold,DOMELLICK MANOR,,,ST DENNIS,ST AUSTELL,CORNWALL,CORNWALL,Additional,Addition,50.3908940000,-4.8949920000
