583000,2005-10-20 00:00:00Z,SK10 5AJ,Detached,Established,Freehold,ENDON LODGE,,CLARKE LANE,BOLLINGTON,MACCLESFIELD,MACCLESFIELD,CHESHIRE,Standard,Addition,53.2841840000,-2.1041740000
220000,2011-03-04 00:00:00Z,SK10 5AW,Detached,Established,Freehold,7,,OAK FOLD,KERRIDGE,MACCLESFIELD,CHESHIRE EAST,CHESHIRE EAST,Standard,Addition,53.2866950000,-2.1007900000
407500,2011-11-24 00:00:00Z,SK10 5AW,Detached,Established,Freehold,5,,OAK FOLD,KERRIDGE,MACCLESFIELD,CHESHIRE EAST,CHESHIRE EAST,Standard,Addition,53.2866950000,-2.1007900000
