30000,2004-04-16 00:00:00Z,NR34 7NG,Semi-Detached,Established,Freehold,1,,HENSTEAD LANE,HENSTEAD,BECCLES,WAVENEY,SUFFOLK,Standard,Addition,52.4079580000,1.6397040000
335000,2016-09-20 00:00:00Z,NR34 7NJ,Detached,Established,Freehold,GREENACRES,,SOTTERLEY COMMON,SOTTERLEY,BECCLES,WAVENEY,SUFFOLK,Standard,Addition,52.4061970000,1.6315180000
351000,2018-07-30 00:00:00Z,NR34 7NJ,Detached,Established,Freehold,MEADOW VIEW,,SOTTERLEY COMMON,SOTTERLEY,BECCLES,WAVENEY,SUFFOLK,Standard,Addition,52.4061970000,1.6315180000
