195000,1995-08-21 00:00:00Z,KT16 0AH,Detached,Established,Freehold,PALMYRA COTTAGE,,LONGCROSS ROAD,LONGCROSS,CHERTSEY,RUNNYMEDE,SURREY,Standard,Addition,51.3791480000,-0.5402950000
290000,1996-04-26 00:00:00Z,KT16 0EL,Detached,Established,Freehold,FOXHILLS LODGE,,STONEHILL ROAD,OTTERSHAW,CHERTSEY,RUNNYMEDE,SURREY,Standard,Addition,51.3716660000,-0.5460300000
700000,2003-06-30 00:00:00Z,KT16 0AQ,Detached,Established,Freehold,TEN ACRE FARM,,STONEHILL ROAD,OTTERSHAW,CHERTSEY,RUNNYMEDE,SURREY,Standard,Addition,51.3700430000,-0.5478490000
645000,2004-07-12 00:00:00Z,KT16 0EL,Detached,Established,Freehold,FOXHILLS LODGE,,STONEHILL ROAD,OTTERSHAW,CHERTSEY,RUNNYMEDE,SURREY,Standard,Addition,51.3716660000,-0.5460300000
2200000,2016-11-04 00:00:00Z,KT16 0AQ,Other,Established,Freehold,TEN ACRE FARM,,STONEHILL ROAD,OTTERSHAW,CHERTSEY,RUNNYMEDE,SURREY,Additional,Addition,51.3700430000,-0.5478490000
1350000,2017-10-20 00:00:00Z,KT16 0EL,Detached,Established,Freehold,FOXHILLS LODGE,,STONEHILL ROAD,OTTERSHAW,CHERTSEY,RUNNYMEDE,SURREY,Standard,Addition,51.3716660000,-0.5460300000
