80000,1996-11-25 00:00:00Z,SY4 3EZ,Detached,Established,Freehold,MAYFIELD,,,YORTON HEATH,SHREWSBURY,NORTH SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.7962700000,-2.7410070000
34000,1996-10-11 00:00:00Z,SY4 3HA,Terraced,Established,Freehold,2,,,FAIRFIELD,SHREWSBURY,NORTH SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.7961850000,-2.7413620000
53500,1999-04-28 00:00:00Z,SY4 3HA,Terraced,Established,Freehold,2,,,FAIRFIELD,SHREWSBURY,NORTH SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.7961850000,-2.7413620000
