550000,2016-08-26 00:00:00Z,DT6 3TL,Detached,Established,Freehold,FLOWERY BOTTOM,,,LOSCOMBE,BRIDPORT,WEST DORSET,DORSET,Standard,Addition,50.7787210000,-2.7099870000
755000,2019-12-13 00:00:00Z,DT6 3TL,Other,Established,Freehold,CHARITY FARM,,,LOSCOMBE,BRIDPORT,DORSET,DORSET,Additional,Addition,50.7787210000,-2.7099870000
1100000,2022-01-10 00:00:00Z,DT6 3TL,Other,Established,Freehold,CHARITY FARM,,,LOSCOMBE,BRIDPORT,DORSET,DORSET,Additional,Addition,50.7787210000,-2.7099870000
