4705000,2019-04-12 00:00:00Z,ST14 8DQ,Other,Established,Freehold,HAZELWALL FARM,,TIMBER LANE,,UTTOXETER,EAST STAFFORDSHIRE,STAFFORDSHIRE,Additional,Addition,52.8892280000,-1.8724360000
360000,2020-10-28 00:00:00Z,ST14 8FE,Detached,New Build,Freehold,127,,SORREL CLOSE,,UTTOXETER,EAST STAFFORDSHIRE,STAFFORDSHIRE,Standard,Addition,52.8898910000,-1.8706060000
310000,2021-03-29 00:00:00Z,ST14 8FE,Detached,New Build,Freehold,125,,SORREL CLOSE,,UTTOXETER,EAST STAFFORDSHIRE,STAFFORDSHIRE,Standard,Addition,52.8898910000,-1.8706060000
295000,2021-08-26 00:00:00Z,ST14 8FE,Detached,New Build,Freehold,117,,SORREL CLOSE,,UTTOXETER,EAST STAFFORDSHIRE,STAFFORDSHIRE,Standard,Addition,52.8898910000,-1.8706060000
315000,2021-08-27 00:00:00Z,ST14 8FE,Detached,New Build,Freehold,119,,SORREL CLOSE,,UTTOXETER,EAST STAFFORDSHIRE,STAFFORDSHIRE,Standard,Addition,52.8898910000,-1.8706060000
430000,2021-09-24 00:00:00Z,ST14 8FE,Detached,New Build,Freehold,123,,SORREL CLOSE,,UTTOXETER,EAST STAFFORDSHIRE,STAFFORDSHIRE,Standard,Addition,52.8898910000,-1.8706060000
400000,2021-11-26 00:00:00Z,ST14 8FE,Detached,New Build,Freehold,113,,SORREL CLOSE,,UTTOXETER,EAST STAFFORDSHIRE,STAFFORDSHIRE,Standard,Addition,52.8898910000,-1.8706060000
