995000,2006-10-05 00:00:00Z,RH14 9DZ,Detached,Established,Freehold,WOODDALE COTTAGE,,WOODDALE LANE,BILLINGSHURST,BILLINGSHURST,HORSHAM,WEST SUSSEX,Standard,Addition,51.0273960000,-0.4327120000
361500,2020-10-30 00:00:00Z,RH14 9ZS,Detached,New Build,Freehold,9,,HILLYFIELD,,BILLINGSHURST,HORSHAM,WEST SUSSEX,Standard,Addition,51.0253960000,-0.4395130000
373125,2020-10-30 00:00:00Z,RH14 9ZS,Detached,New Build,Freehold,6,,HILLYFIELD,,BILLINGSHURST,HORSHAM,WEST SUSSEX,Standard,Addition,51.0253960000,-0.4395130000
604995,2020-12-21 00:00:00Z,RH14 9ZS,Detached,New Build,Freehold,18,,HILLYFIELD,,BILLINGSHURST,HORSHAM,WEST SUSSEX,Standard,Addition,51.0253960000,-0.4395130000
366250,2020-10-01 00:00:00Z,RH14 9ZS,Semi-Detached,New Build,Freehold,11,,HILLYFIELD,,BILLINGSHURST,HORSHAM,WEST SUSSEX,Standard,Addition,51.0253960000,-0.4395130000
373125,2020-09-25 00:00:00Z,RH14 9ZS,Semi-Detached,New Build,Freehold,10,,HILLYFIELD,,BILLINGSHURST,HORSHAM,WEST SUSSEX,Standard,Addition,51.0253960000,-0.4395130000
590000,2021-01-27 00:00:00Z,RH14 9ZS,Detached,New Build,Freehold,3,,HILLYFIELD,,BILLINGSHURST,HORSHAM,WEST SUSSEX,Standard,Addition,51.0253960000,-0.4395130000
595000,2021-01-15 00:00:00Z,RH14 9ZS,Detached,New Build,Freehold,17,,HILLYFIELD,,BILLINGSHURST,HORSHAM,WEST SUSSEX,Standard,Addition,51.0253960000,-0.4395130000
