435000,1999-08-23 00:00:00Z,TQ7 4BW,Detached,Established,Freehold,HIGHER WARCOMBE,,,,KINGSBRIDGE,SOUTH HAMS,DEVON,Standard,Addition,50.3128420000,-3.7798670000
981266,2012-01-16 00:00:00Z,TQ7 4BN,Detached,Established,Freehold,COURTLANDS MANOR HOUSE,,,,KINGSBRIDGE,SOUTH HAMS,DEVON,Standard,Addition,50.3139720000,-3.7737160000
795000,2015-03-27 00:00:00Z,TQ7 4BW,Detached,Established,Freehold,HIGHER WARCOMBE,,,,KINGSBRIDGE,SOUTH HAMS,DEVON,Standard,Addition,50.3128420000,-3.7798670000
125000,2016-03-31 00:00:00Z,TQ7 4BN,Terraced,Established,Freehold,COURTLANDS MANOR,WILLOUGHBY COTTAGE,,,KINGSBRIDGE,SOUTH HAMS,DEVON,Standard,Addition,50.3139720000,-3.7737160000
125000,2016-03-31 00:00:00Z,TQ7 4BN,Terraced,Established,Freehold,COURTLANDS MANOR,ELLIOTT COTTAGE,,,KINGSBRIDGE,SOUTH HAMS,DEVON,Standard,Addition,50.3139720000,-3.7737160000
260000,2016-04-26 00:00:00Z,TQ7 4BN,Terraced,Established,Freehold,COURTLANDS MANOR COTTAGE,,,,KINGSBRIDGE,SOUTH HAMS,DEVON,Standard,Addition,50.3139720000,-3.7737160000
100000,2017-02-16 00:00:00Z,TQ7 4BN,Other,Established,Freehold,SLADELANDS,,,,KINGSBRIDGE,SOUTH HAMS,DEVON,Additional,Addition,50.3139720000,-3.7737160000
133000,2018-05-10 00:00:00Z,TQ7 4BN,Other,Established,Freehold,SLADELANDS,,,,KINGSBRIDGE,SOUTH HAMS,DEVON,Additional,Addition,50.3139720000,-3.7737160000
881000,2019-09-25 00:00:00Z,TQ7 4BW,Other,Established,Freehold,HIGHER WARCOMBE,,,,KINGSBRIDGE,SOUTH HAMS,DEVON,Additional,Addition,50.3128420000,-3.7798670000
185000,2021-04-23 00:00:00Z,TQ7 4BL,Other,Established,Freehold,STUMPY POST CROSS,,,,KINGSBRIDGE,SOUTH HAMS,DEVON,Additional,Addition,50.3105050000,-3.7733420000
