139950,1995-05-12 00:00:00Z,RH17 5JD,Detached,New Build,Freehold,SLOUGH PLACE FARM COTTAGE,,STAPLEFIELD ROAD,CUCKFIELD,HAYWARDS HEATH,MID SUSSEX,WEST SUSSEX,Standard,Addition,51.0191690000,-0.1670360000
135000,1997-03-26 00:00:00Z,RH17 5JA,Semi-Detached,Established,Freehold,OLD DEAKS COTTAGES,2,DEAKS LANE,CUCKFIELD,HAYWARDS HEATH,MID SUSSEX,WEST SUSSEX,Standard,Addition,51.0168650000,-0.1657580000
270000,2000-11-20 00:00:00Z,RH17 5JA,Semi-Detached,Established,Freehold,OLD DEAKS COTTAGES,2,DEAKS LANE,CUCKFIELD,HAYWARDS HEATH,MID SUSSEX,WEST SUSSEX,Standard,Addition,51.0168650000,-0.1657580000
389950,2001-09-11 00:00:00Z,RH17 5JA,Semi-Detached,Established,Freehold,OLD DEAKS COTTAGES,1,DEAKS LANE,CUCKFIELD,HAYWARDS HEATH,MID SUSSEX,WEST SUSSEX,Standard,Addition,51.0168650000,-0.1657580000
345000,2002-11-08 00:00:00Z,RH17 5JA,Semi-Detached,Established,Freehold,OLD DEAKS COTTAGES,2,DEAKS LANE,CUCKFIELD,HAYWARDS HEATH,MID SUSSEX,WEST SUSSEX,Standard,Addition,51.0168650000,-0.1657580000
600000,2008-02-29 00:00:00Z,RH17 5JA,Semi-Detached,Established,Freehold,OLD DEAKS COTTAGES,1,DEAKS LANE,CUCKFIELD,HAYWARDS HEATH,MID SUSSEX,WEST SUSSEX,Standard,Addition,51.0168650000,-0.1657580000
880000,2021-03-31 00:00:00Z,RH17 5JA,Semi-Detached,Established,Freehold,OLD DEAKS COTTAGES,1,DEAKS LANE,CUCKFIELD,HAYWARDS HEATH,MID SUSSEX,WEST SUSSEX,Standard,Addition,51.0168650000,-0.1657580000
