275000,2005-07-18 00:00:00Z,DN21 3JD,Detached,Established,Freehold,STONELEIGH,,GAINSBOROUGH ROAD,SCOTTER,GAINSBOROUGH,WEST LINDSEY,LINCOLNSHIRE,Standard,Addition,53.4883640000,-0.6821240000
184000,2012-11-13 00:00:00Z,DN21 3JE,Semi-Detached,Established,Freehold,2,,FORESTRY COTTAGES,SCOTTER COMMON,GAINSBOROUGH,WEST LINDSEY,LINCOLNSHIRE,Standard,Addition,53.4868510000,-0.6860290000
325000,2021-04-09 00:00:00Z,DN21 3JE,Semi-Detached,Established,Freehold,2,,FORESTRY COTTAGES,SCOTTER COMMON,GAINSBOROUGH,WEST LINDSEY,LINCOLNSHIRE,Standard,Addition,53.4868510000,-0.6860290000
