800000,1995-03-31 00:00:00Z,SG4 7BN,Detached,Established,Freehold,GRAVELEY HILL COTTAGE,,CHURCH LANE,GRAVELEY,HITCHIN,NORTH HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.9360830000,-0.1874000000
138500,2000-06-16 00:00:00Z,SG1 3XX,Detached,New Build,Freehold,13,,WENSUM ROAD,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
132500,2000-08-25 00:00:00Z,SG1 3XX,Semi-Detached,New Build,Freehold,11,,WENSUM ROAD,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
88500,2000-06-30 00:00:00Z,SG1 3XU,Terraced,New Build,Freehold,15,,KENNETT WAY,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
182500,2000-06-16 00:00:00Z,SG1 3XX,Detached,New Build,Freehold,5,,WENSUM ROAD,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
132500,2000-04-28 00:00:00Z,SG1 3XX,Detached,New Build,Freehold,18,,WENSUM ROAD,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
158950,2000-09-08 00:00:00Z,SG1 3XT,Detached,New Build,Freehold,14,,ORWELL AVENUE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9308720000,-0.1841430000
89995,2000-07-28 00:00:00Z,SG1 3XU,Terraced,New Build,Freehold,12,,KENNETT WAY,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
112500,2000-06-23 00:00:00Z,SG1 3XU,Semi-Detached,New Build,Freehold,6,,KENNETT WAY,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
125000,2000-04-28 00:00:00Z,SG1 3XX,Detached,New Build,Freehold,19,,WENSUM ROAD,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
159950,2000-11-10 00:00:00Z,SG1 3XY,Detached,New Build,Freehold,3,,RICCAT LANE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
188280,2000-12-08 00:00:00Z,SG1 3XY,Detached,New Build,Freehold,18,,RICCAT LANE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
189950,2000-10-20 00:00:00Z,SG1 3XY,Detached,New Build,Freehold,10,,RICCAT LANE,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
135500,2000-06-16 00:00:00Z,SG1 3XX,Detached,New Build,Freehold,14,,WENSUM ROAD,,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
