800000,1995-03-31 00:00:00Z,SG4 7BN,Detached,Established,Freehold,GRAVELEY HILL COTTAGE,,CHURCH LANE,GRAVELEY,HITCHIN,NORTH HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.9360830000,-0.1874000000
174950,2001-12-14 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,15,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
149950,2001-08-31 00:00:00Z,SG1 3XW,Detached,New Build,Freehold,7,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
249950,2001-11-30 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,11,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
145000,2001-09-28 00:00:00Z,SG1 6DJ,Terraced,New Build,Freehold,9,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
212450,2001-04-12 00:00:00Z,SG1 3XS,Detached,New Build,Freehold,4,,HUMBER COURT,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9321690000,-0.1843090000
225000,2001-03-16 00:00:00Z,SG1 3XZ,Detached,New Build,Freehold,4,,AVON DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9319370000,-0.1832470000
116995,2001-11-26 00:00:00Z,SG1 6DN,Terraced,New Build,Freehold,16,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
149995,2001-11-30 00:00:00Z,SG1 6DN,Terraced,New Build,Freehold,10,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
197950,2001-08-31 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,2,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
153000,2001-12-14 00:00:00Z,SG1 6DN,Terraced,New Build,Freehold,8,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
225000,2001-11-29 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,12,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
194950,2001-08-20 00:00:00Z,SG1 3XW,Detached,New Build,Freehold,11,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
95000,2001-01-26 00:00:00Z,SG1 3YN,Terraced,New Build,Freehold,2,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
154495,2001-12-21 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,2,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
148000,2001-04-25 00:00:00Z,SG1 3XX,Detached,Established,Freehold,14,,WENSUM ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
96950,2001-01-09 00:00:00Z,SG1 3YN,Terraced,New Build,Freehold,3,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
219950,2001-08-31 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,1,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
140950,2001-07-06 00:00:00Z,SG1 3XT,Semi-Detached,New Build,Freehold,17,,ORWELL AVENUE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9308720000,-0.1841430000
193950,2001-04-06 00:00:00Z,SG1 3XS,Detached,New Build,Freehold,8,,HUMBER COURT,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9321690000,-0.1843090000
147950,2001-08-30 00:00:00Z,SG1 3XW,Detached,New Build,Freehold,9,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
199995,2002-02-28 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,45,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
194995,2002-08-16 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,25,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
222495,2002-05-31 00:00:00Z,SG1 3XW,Detached,New Build,Freehold,13,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
204000,2002-05-10 00:00:00Z,SG1 6DF,Detached,New Build,Freehold,19,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
195495,2002-06-27 00:00:00Z,SG1 6DJ,Semi-Detached,New Build,Freehold,21,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
139995,2002-06-28 00:00:00Z,SG1 3XU,Semi-Detached,New Build,Freehold,5,,KENNETT WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
151995,2002-10-31 00:00:00Z,SG1 6DJ,Terraced,New Build,Freehold,25,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
154995,2002-03-28 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,11,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
125000,2002-10-18 00:00:00Z,SG1 3YN,Semi-Detached,Established,Freehold,9,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
109000,2002-01-18 00:00:00Z,SG1 3XU,Terraced,Established,Freehold,15,,KENNETT WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
249950,2002-03-22 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,19,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
119995,2002-07-12 00:00:00Z,SG1 3YN,Terraced,Established,Freehold,2,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
141995,2002-02-28 00:00:00Z,SG1 6DN,Terraced,New Build,Freehold,26,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
172500,2002-10-25 00:00:00Z,SG1 6DF,Terraced,Established,Freehold,35,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
172500,2002-06-28 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,20,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
161495,2002-07-29 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,22,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
113450,2002-02-28 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,15,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
213000,2002-04-19 00:00:00Z,SG1 3XX,Detached,Established,Freehold,21,,WENSUM ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
157995,2002-05-24 00:00:00Z,SG1 6DJ,Terraced,New Build,Freehold,11,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
187495,2002-04-30 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,7,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
156995,2002-12-06 00:00:00Z,SG1 6DJ,Terraced,New Build,Freehold,31,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
157995,2002-04-26 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,5,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
161995,2002-07-12 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,41,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
157995,2002-09-06 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,28,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
194495,2002-05-10 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,44,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
182495,2002-04-29 00:00:00Z,SG1 3XT,Detached,New Build,Freehold,33,,ORWELL AVENUE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9308720000,-0.1841430000
157995,2002-09-13 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,29,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
214995,2002-02-28 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,22,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
134995,2002-12-17 00:00:00Z,SG1 3YN,Terraced,Established,Freehold,15,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
109995,2002-02-28 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,14,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
177495,2002-01-31 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,17,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
169995,2002-09-20 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,32,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
157495,2002-04-26 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,6,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
161495,2002-07-26 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,23,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
154495,2002-03-28 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,12,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
157995,2002-08-30 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,27,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
179995,2002-03-28 00:00:00Z,SG1 3XT,Detached,New Build,Freehold,25,,ORWELL AVENUE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9308720000,-0.1841430000
130500,2002-11-29 00:00:00Z,SG1 3XU,Semi-Detached,Established,Freehold,7,,KENNETT WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
155495,2002-09-13 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,30,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
169995,2002-10-25 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,36,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
189995,2002-06-21 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,8,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
234995,2002-11-28 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,42,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
195495,2002-06-25 00:00:00Z,SG1 6DJ,Semi-Detached,New Build,Freehold,19,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
235000,2002-10-15 00:00:00Z,SG1 3XY,Detached,Established,Freehold,16,,RICCAT LANE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
224995,2002-06-28 00:00:00Z,SG1 6DF,Detached,New Build,Freehold,10,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
152995,2002-10-28 00:00:00Z,SG1 6DJ,Terraced,New Build,Freehold,23,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
222495,2002-04-19 00:00:00Z,SG1 3XT,Detached,New Build,Freehold,27,,ORWELL AVENUE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9308720000,-0.1841430000
158995,2002-05-30 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,17,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
161495,2002-06-10 00:00:00Z,SG1 6DJ,Semi-Detached,New Build,Freehold,15,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
224995,2002-06-13 00:00:00Z,SG1 3XT,Detached,New Build,Freehold,31,,ORWELL AVENUE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9308720000,-0.1841430000
195495,2002-07-31 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,24,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
157500,2002-05-01 00:00:00Z,SG1 3XX,Semi-Detached,Established,Freehold,11,,WENSUM ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
169995,2002-09-24 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,31,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
130500,2002-02-15 00:00:00Z,SG1 3XU,Semi-Detached,Established,Freehold,9,,KENNETT WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
142495,2002-03-28 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,16,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
277995,2002-06-25 00:00:00Z,SG1 3XW,Detached,New Build,Freehold,14,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
158995,2002-05-10 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,18,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
127995,2002-07-05 00:00:00Z,SG1 3XU,Semi-Detached,New Build,Freehold,4,,KENNETT WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
231995,2002-04-29 00:00:00Z,SG1 3XT,Detached,New Build,Freehold,35,,ORWELL AVENUE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9308720000,-0.1841430000
109000,2002-03-15 00:00:00Z,SG1 3YN,Terraced,Established,Freehold,14,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
159995,2002-06-28 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,21,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
137995,2002-01-31 00:00:00Z,SG1 6DJ,Terraced,New Build,Freehold,7,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
159950,2002-12-20 00:00:00Z,SG1 3XU,Semi-Detached,Established,Freehold,1,,KENNETT WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
219995,2002-04-12 00:00:00Z,SG1 3XT,Detached,New Build,Freehold,23,,ORWELL AVENUE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9308720000,-0.1841430000
199975,2002-10-11 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,34,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
224995,2002-03-27 00:00:00Z,SG1 3XT,Detached,New Build,Freehold,21,,ORWELL AVENUE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9308720000,-0.1841430000
125000,2002-06-28 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,39,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
172995,2002-05-31 00:00:00Z,SG1 6DF,Detached,New Build,Freehold,9,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
232000,2002-06-28 00:00:00Z,SG1 3XU,Detached,New Build,Freehold,3,,KENNETT WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
164995,2002-10-31 00:00:00Z,SG1 6DJ,Terraced,New Build,Freehold,29,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
164995,2002-01-31 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,1,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
199995,2002-09-30 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,33,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
274995,2002-06-28 00:00:00Z,SG1 3XW,Detached,New Build,Freehold,1,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
125000,2002-06-28 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,38,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
195495,2002-08-23 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,26,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
154995,2002-01-31 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,4,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
177495,2002-02-28 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,21,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
161995,2002-07-16 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,40,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
179995,2002-04-30 00:00:00Z,SG1 3XT,Detached,New Build,Freehold,29,,ORWELL AVENUE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9308720000,-0.1841430000
154995,2002-11-01 00:00:00Z,SG1 6DJ,Terraced,New Build,Freehold,27,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
161495,2002-06-19 00:00:00Z,SG1 6DJ,Terraced,New Build,Freehold,17,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
249500,2002-10-11 00:00:00Z,SG1 3XX,Detached,Established,Freehold,9,,WENSUM ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
144950,2002-08-12 00:00:00Z,SG1 3YN,Semi-Detached,Established,Freehold,6,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
109450,2002-04-16 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,13,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
177500,2002-12-18 00:00:00Z,SG1 6DN,Terraced,Established,Freehold,18,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
174995,2002-10-31 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,37,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
194995,2002-04-26 00:00:00Z,SG1 6DF,Semi-Detached,New Build,Freehold,43,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
224995,2002-06-27 00:00:00Z,SG1 3XW,Detached,New Build,Freehold,2,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
269995,2002-03-15 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,18,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
157995,2002-06-10 00:00:00Z,SG1 6DJ,Semi-Detached,New Build,Freehold,13,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
149995,2002-08-19 00:00:00Z,SG1 3YN,Terraced,Established,Freehold,5,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
217995,2003-06-09 00:00:00Z,SG1 3XX,Detached,Established,Freehold,19,,WENSUM ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
203000,2003-08-29 00:00:00Z,SG1 6DJ,Semi-Detached,Established,Freehold,15,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
184995,2003-08-28 00:00:00Z,SG1 6DH,Terraced,New Build,Freehold,10,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9312400000,-0.1800120000
199995,2003-09-03 00:00:00Z,SG1 6DH,Semi-Detached,New Build,Freehold,2,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9312400000,-0.1800120000
320000,2003-08-29 00:00:00Z,SG1 3XW,Detached,Established,Freehold,10,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
249995,2003-08-08 00:00:00Z,SG1 3XY,Detached,Established,Freehold,14,,RICCAT LANE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
187500,2003-05-30 00:00:00Z,SG1 6DN,Semi-Detached,Established,Freehold,2,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
194500,2003-10-16 00:00:00Z,SG1 6DF,Semi-Detached,Established,Freehold,12,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
330000,2003-12-05 00:00:00Z,SG1 3XW,Detached,Established,Freehold,14,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
249950,2003-08-29 00:00:00Z,SG1 3YJ,Detached,Established,Freehold,17,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
249995,2003-12-05 00:00:00Z,SG1 3XX,Detached,Established,Freehold,9,,WENSUM ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
217000,2003-04-02 00:00:00Z,SG1 6DN,Detached,Established,Freehold,30,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
