225000,2016-02-19 00:00:00Z,NG6 8ZF,Terraced,Established,Freehold,HUNDRED ACRE FARM,3,SQUIRES DRIVE,BESTWOOD VILLAGE,NOTTINGHAM,GEDLING,NOTTINGHAMSHIRE,Standard,Addition,53.0320610000,-1.1540660000
222500,2017-12-20 00:00:00Z,NG6 8FA,Detached,Established,Freehold,3,,SUNRISE AVENUE,KILLARNEY PARK,NOTTINGHAM,GEDLING,NOTTINGHAMSHIRE,Standard,Addition,53.0314600000,-1.1506370000
180000,2017-01-27 00:00:00Z,NG6 8FA,Detached,Established,Freehold,3,,SUNRISE AVENUE,KILLARNEY PARK,NOTTINGHAM,GEDLING,NOTTINGHAMSHIRE,Standard,Addition,53.0314600000,-1.1506370000
228000,2019-01-07 00:00:00Z,NG6 8FA,Detached,Established,Freehold,3,,SUNRISE AVENUE,KILLARNEY PARK,NOTTINGHAM,GEDLING,NOTTINGHAMSHIRE,Standard,Addition,53.0314600000,-1.1506370000
