147950,2018-12-21 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,16,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
174950,2018-08-30 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,17,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
144950,2018-09-14 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,11A,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
161950,2018-09-28 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,3,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
159950,2018-09-14 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,2,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
144950,2018-06-29 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,19,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
201950,2018-12-21 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,15,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
239950,2019-10-11 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,7,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
179950,2019-10-28 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,9,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
175950,2019-11-15 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,5,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
159950,2019-02-28 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,18,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
274950,2019-06-28 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,4,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
189950,2019-06-28 00:00:00Z,DL4 2GH,Detached,New Build,Freehold,21,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
159950,2019-03-29 00:00:00Z,DL4 2GX,Detached,New Build,Freehold,1,,RAVEN COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6284510000,-1.6292530000
184950,2019-03-29 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,14,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
159950,2019-05-03 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,19,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
174000,2019-04-24 00:00:00Z,DL4 2GH,Detached,Established,Freehold,18,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
184950,2019-08-23 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,10,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
204950,2019-08-29 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,9,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
264950,2019-08-29 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,8,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
199950,2019-10-31 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,12,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
184950,2019-05-31 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,11,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
199950,2019-12-09 00:00:00Z,DL4 2GX,Detached,New Build,Freehold,17,,RAVEN COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6284510000,-1.6292530000
239950,2020-09-30 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,5,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
284950,2020-06-30 00:00:00Z,DL4 2GX,Detached,New Build,Freehold,12,,RAVEN COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6284510000,-1.6292530000
229950,2020-07-24 00:00:00Z,DL4 2GX,Detached,New Build,Freehold,15,,RAVEN COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6284510000,-1.6292530000
279950,2020-07-31 00:00:00Z,DL4 2GX,Detached,New Build,Freehold,16,,RAVEN COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6284510000,-1.6292530000
160000,2020-09-25 00:00:00Z,DL4 2GH,Detached,Established,Freehold,10,,GRESLEY DRIVE,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6277790000,-1.6299260000
229950,2020-03-20 00:00:00Z,DL4 2BF,Detached,New Build,Freehold,6,,STURROCK COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6275780000,-1.6289050000
239950,2020-10-26 00:00:00Z,DL4 2GX,Detached,New Build,Freehold,9,,RAVEN COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6284510000,-1.6292530000
239950,2020-03-26 00:00:00Z,DL4 2GX,Detached,New Build,Freehold,14,,RAVEN COURT,,SHILDON,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6284510000,-1.6292530000
