439995,2020-10-16 00:00:00Z,MK43 2AL,Detached,New Build,Freehold,8,,COPPERWHEAT BANK,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0603810000,-0.5609850000
686995,2020-10-09 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,25,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
454495,2020-10-30 00:00:00Z,MK43 2AH,Detached,New Build,Freehold,19,,GEE VIEW,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0613860000,-0.5623240000
599999,2020-12-10 00:00:00Z,MK43 2AL,Detached,New Build,Freehold,2,,COPPERWHEAT BANK,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0603810000,-0.5609850000
548495,2020-12-18 00:00:00Z,MK43 2AH,Detached,New Build,Freehold,21,,GEE VIEW,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0613860000,-0.5623240000
454495,2020-12-04 00:00:00Z,MK43 2AL,Detached,New Build,Freehold,6,,COPPERWHEAT BANK,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0603810000,-0.5609850000
328000,2020-12-18 00:00:00Z,MK43 2AA,Semi-Detached,Established,Freehold,31,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
459995,2020-01-17 00:00:00Z,MK43 2AL,Detached,New Build,Freehold,5,,COPPERWHEAT BANK,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0603810000,-0.5609850000
312995,2020-08-28 00:00:00Z,MK43 2AA,Semi-Detached,New Build,Freehold,26,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
680995,2020-07-30 00:00:00Z,MK43 2AA,Detached,New Build,Freehold,29,,FAULKNER GARDENS,MARSTON MORETAINE,BEDFORD,CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,Standard,Addition,52.0610440000,-0.5615180000
