160000,2000-09-27 00:00:00Z,CF82 7TS,Detached,Established,Freehold,UNIT D,VILLAGE PEOPLE LTD,DISTRIBUTION WAY,DYFFRYN BUSINESS PARK,HENGOED,CAERPHILLY,CAERPHILLY,Standard,Addition,51.6282630000,-3.2321890000
2100000,2017-11-29 00:00:00Z,CF82 7RJ,Other,Established,Freehold,"BERGSTROM (EUROPE) LTD, 41",,SYCAMORE CLOSE,DYFFRYN BUSINESS PARK,HENGOED,CAERPHILLY,CAERPHILLY,Additional,Addition,51.6291880000,-3.2329130000
1380000,2017-03-31 00:00:00Z,CF82 7TW,Other,Established,Freehold,"CATNIC, 2",,ALDER AVENUE,DYFFRYN BUSINESS PARK,HENGOED,CAERPHILLY,CAERPHILLY,Additional,Addition,51.6285910000,-3.2308830000
6410000,2021-02-02 00:00:00Z,CF82 7TW,Other,Established,Freehold,"DUFFRYN PARK, 1","UK USED CLOTHES LTD, UNIT C10, BLOCK C",ALDER AVENUE,DYFFRYN BUSINESS PARK,HENGOED,CAERPHILLY,CAERPHILLY,Additional,Addition,51.6285910000,-3.2308830000
6410000,2021-02-02 00:00:00Z,CF82 7TW,Other,Established,Freehold,"DUFFRYN PARK, 1","CHECKFIRE LTD, BLOCK A",ALDER AVENUE,DYFFRYN BUSINESS PARK,HENGOED,CAERPHILLY,CAERPHILLY,Additional,Addition,51.6285910000,-3.2308830000
