34000,1995-12-23 00:00:00Z,PL20 7NP,Semi-Detached,New Build,Freehold,LOWER BUNGALOW,,GREEN LANE,BUCKLAND MONACHORUM,YELVERTON,WEST DEVON,DEVON,Standard,Addition,50.4922690000,-4.1423640000
290000,2001-07-30 00:00:00Z,PL20 7NN,Detached,Established,Freehold,ROOKSMOOR,,,BUCKLAND MONACHORUM,YELVERTON,WEST DEVON,DEVON,Standard,Addition,50.4964780000,-4.1441760000
290000,2002-07-30 00:00:00Z,PL20 7NN,Detached,Established,Freehold,ROOKSMOOR,,,BUCKLAND MONACHORUM,YELVERTON,WEST DEVON,DEVON,Standard,Addition,50.4964780000,-4.1441760000
