22000,1995-08-07 00:00:00Z,DL12 0NN,Terraced,Established,Freehold,3,,ALLANS HILL,MIDDLETON IN TEESDALE,BARNARD CASTLE,TEESDALE,DURHAM,Standard,Addition,54.6368270000,-2.1457910000
84000,1999-03-05 00:00:00Z,DL12 0NJ,Detached,Established,Freehold,GREENBANK COTTAGE,,HOLWICK,MIDDLETON IN TEESDALE,BARNARD CASTLE,TEESDALE,DURHAM,Standard,Addition,54.6352980000,-2.1404490000
277000,2007-11-30 00:00:00Z,DL12 0NJ,Detached,Established,Freehold,GREENBANK COTTAGE,,HOLWICK,MIDDLETON IN TEESDALE,BARNARD CASTLE,TEESDALE,DURHAM,Standard,Addition,54.6352980000,-2.1404490000
310000,2018-08-06 00:00:00Z,DL12 0NJ,Detached,Established,Freehold,GREENBANK COTTAGE,,HOLWICK,MIDDLETON IN TEESDALE,BARNARD CASTLE,COUNTY DURHAM,COUNTY DURHAM,Standard,Addition,54.6352980000,-2.1404490000
