170000,1996-06-19 00:00:00Z,GL19 4NF,Detached,Established,Freehold,49,,DUNSMORE GREEN,FORTHAMPTON,GLOUCESTER,TEWKESBURY,GLOUCESTERSHIRE,Standard,Addition,51.9902200000,-2.2266340000
205000,1998-12-10 00:00:00Z,GL19 4QQ,Detached,Established,Freehold,GREEN GINGER COTTAGE,,LONG GREEN,FORTHAMPTON,GLOUCESTER,MALVERN HILLS,WORCESTERSHIRE,Standard,Addition,51.9985410000,-2.2291150000
101500,1999-02-12 00:00:00Z,GL19 4QQ,Detached,Established,Freehold,OLDE CIDER HOUSE,,LONG GREEN,FORTHAMPTON,GLOUCESTER,MALVERN HILLS,WORCESTERSHIRE,Standard,Addition,51.9985410000,-2.2291150000
400000,2009-07-03 00:00:00Z,GL19 4QQ,Detached,Established,Freehold,GREEN GINGER COTTAGE,,LONG GREEN,FORTHAMPTON,GLOUCESTER,MALVERN HILLS,WORCESTERSHIRE,Standard,Addition,51.9985410000,-2.2291150000
240000,2009-08-21 00:00:00Z,GL19 4QQ,Detached,Established,Freehold,IVY COTTAGE,,LONG GREEN,FORTHAMPTON,GLOUCESTER,MALVERN HILLS,WORCESTERSHIRE,Standard,Addition,51.9985410000,-2.2291150000
300000,2010-10-01 00:00:00Z,GL19 4QQ,Detached,Established,Freehold,MALDORJAY,,LONG GREEN,FORTHAMPTON,GLOUCESTER,MALVERN HILLS,WORCESTERSHIRE,Standard,Addition,51.9985410000,-2.2291150000
250000,2014-03-28 00:00:00Z,GL19 4QQ,Detached,Established,Freehold,HAZELDENE,,LONG GREEN,FORTHAMPTON,GLOUCESTER,MALVERN HILLS,WORCESTERSHIRE,Standard,Addition,51.9985410000,-2.2291150000
300000,2017-06-16 00:00:00Z,GL19 4QQ,Other,Established,Freehold,THE DENE,,LONG GREEN,FORTHAMPTON,GLOUCESTER,MALVERN HILLS,WORCESTERSHIRE,Additional,Addition,51.9985410000,-2.2291150000
435000,2021-03-09 00:00:00Z,GL19 4QQ,Detached,Established,Freehold,MALDORJAY,,LONG GREEN,FORTHAMPTON,GLOUCESTER,MALVERN HILLS,WORCESTERSHIRE,Standard,Addition,51.9985410000,-2.2291150000
