545000,2002-01-31 00:00:00Z,RG10 9TD,Detached,Established,Freehold,GLEBE HOUSE,,BLAKES LANE,HARE HATCH,READING,WOKINGHAM,WOKINGHAM,Standard,Addition,51.5007290000,-0.8414010000
585000,2016-02-26 00:00:00Z,RG10 8AW,Terraced,New Build,Freehold,WENTWORTH HOUSE,4,BLAKES ROAD,WARGRAVE,READING,WOKINGHAM,WOKINGHAM,Standard,Addition,51.5023910000,-0.8468040000
425000,2016-03-10 00:00:00Z,RG10 8AW,Terraced,Established,Freehold,WENTWORTH HOUSE,2,BLAKES ROAD,WARGRAVE,READING,WOKINGHAM,WOKINGHAM,Standard,Addition,51.5023910000,-0.8468040000
322500,2016-05-03 00:00:00Z,RG10 8AW,Terraced,Established,Freehold,WENTWORTH HOUSE,1,BLAKES ROAD,WARGRAVE,READING,WOKINGHAM,WOKINGHAM,Standard,Addition,51.5023910000,-0.8468040000
535000,2016-05-10 00:00:00Z,RG10 8AW,Terraced,Established,Freehold,WENTWORTH HOUSE,3,BLAKES ROAD,WARGRAVE,READING,WOKINGHAM,WOKINGHAM,Standard,Addition,51.5023910000,-0.8468040000
750000,2017-04-13 00:00:00Z,RG10 8AW,Terraced,Established,Freehold,WENTWORTH HOUSE,6,BLAKES ROAD,WARGRAVE,READING,WOKINGHAM,WOKINGHAM,Standard,Addition,51.5023910000,-0.8468040000
635000,2017-12-21 00:00:00Z,RG10 8AW,Terraced,Established,Freehold,WENTWORTH HOUSE,5,BLAKES ROAD,WARGRAVE,READING,WOKINGHAM,WOKINGHAM,Standard,Addition,51.5023910000,-0.8468040000
377500,2021-12-17 00:00:00Z,RG10 8AW,Terraced,Established,Freehold,WENTWORTH HOUSE,1,BLAKES ROAD,WARGRAVE,READING,WOKINGHAM,WOKINGHAM,Standard,Addition,51.5023910000,-0.8468040000
