109950,2000-11-03 00:00:00Z,SY4 4RS,Semi-Detached,Established,Freehold,BRICK KILN COTTAGES,2,HUNKINGTON LANE,WITHINGTON,SHREWSBURY,SHREWSBURY AND ATCHAM,SHROPSHIRE,Standard,Addition,52.7195000000,-2.6348540000
300000,2014-06-02 00:00:00Z,SY4 4PT,Detached,Established,Freehold,SANDY LANE COTTAGE,,SANDY LANE,WITHINGTON,SHREWSBURY,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.7135320000,-2.6363070000
550000,2020-10-28 00:00:00Z,SY4 4PT,Detached,Established,Freehold,SANDY LANE COTTAGE,,SANDY LANE,WITHINGTON,SHREWSBURY,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.7135320000,-2.6363070000
