125000,1999-07-09 00:00:00Z,CH2 4JN,Detached,Established,Freehold,MANOR LODGE,,CRYERS LANE,THORNTON LE MOORS,CHESTER,CHESTER,CHESHIRE,Standard,Addition,53.2567380000,-2.8272210000
360000,2011-04-11 00:00:00Z,CH2 4LH,Detached,Established,Freehold,PEEWIT LODGE FARM,,CRYERS LANE,THORNTON LE MOORS,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.2597450000,-2.8265450000
500000,2019-08-02 00:00:00Z,CH2 4LH,Detached,Established,Freehold,PEEWIT LODGE FARM,,CRYERS LANE,THORNTON LE MOORS,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,Standard,Addition,53.2597450000,-2.8265450000
