169000,2020-03-27 00:00:00Z,ST18 9TQ,Semi-Detached,New Build,Freehold,8,,BUTTERCUP CROFT,MARSTON,STAFFORD,STAFFORD,STAFFORDSHIRE,Standard,Addition,52.8351720000,-2.1195080000
221000,2020-02-28 00:00:00Z,ST18 9TQ,Semi-Detached,New Build,Freehold,44,,BUTTERCUP CROFT,MARSTON,STAFFORD,STAFFORD,STAFFORDSHIRE,Standard,Addition,52.8351720000,-2.1195080000
164000,2020-05-29 00:00:00Z,ST18 9TQ,Terraced,New Build,Freehold,5,,BUTTERCUP CROFT,MARSTON,STAFFORD,STAFFORD,STAFFORDSHIRE,Standard,Addition,52.8351720000,-2.1195080000
319000,2020-03-27 00:00:00Z,ST18 9TQ,Detached,New Build,Freehold,30,,BUTTERCUP CROFT,MARSTON,STAFFORD,STAFFORD,STAFFORDSHIRE,Standard,Addition,52.8351720000,-2.1195080000
176000,2020-03-27 00:00:00Z,ST18 9TQ,Terraced,New Build,Freehold,3,,BUTTERCUP CROFT,MARSTON,STAFFORD,STAFFORD,STAFFORDSHIRE,Standard,Addition,52.8351720000,-2.1195080000
210500,2020-06-26 00:00:00Z,ST18 9TQ,Semi-Detached,New Build,Freehold,19,,BUTTERCUP CROFT,MARSTON,STAFFORD,STAFFORD,STAFFORDSHIRE,Standard,Addition,52.8351720000,-2.1195080000
250000,2020-03-20 00:00:00Z,ST18 9TQ,Detached,New Build,Freehold,48,,BUTTERCUP CROFT,MARSTON,STAFFORD,STAFFORD,STAFFORDSHIRE,Standard,Addition,52.8351720000,-2.1195080000
217000,2020-06-26 00:00:00Z,ST18 9TQ,Semi-Detached,New Build,Freehold,42,,BUTTERCUP CROFT,MARSTON,STAFFORD,STAFFORD,STAFFORDSHIRE,Standard,Addition,52.8351720000,-2.1195080000
209000,2020-07-31 00:00:00Z,ST18 9TQ,Semi-Detached,New Build,Freehold,22,,BUTTERCUP CROFT,MARSTON,STAFFORD,STAFFORD,STAFFORDSHIRE,Standard,Addition,52.8351720000,-2.1195080000
339000,2020-09-30 00:00:00Z,ST18 9TQ,Detached,New Build,Freehold,54,,BUTTERCUP CROFT,MARSTON,STAFFORD,STAFFORD,STAFFORDSHIRE,Standard,Addition,52.8351720000,-2.1195080000
304000,2020-09-30 00:00:00Z,ST18 9TQ,Detached,New Build,Freehold,50,,BUTTERCUP CROFT,MARSTON,STAFFORD,STAFFORD,STAFFORDSHIRE,Standard,Addition,52.8351720000,-2.1195080000
174000,2020-09-25 00:00:00Z,ST18 9TQ,Terraced,New Build,Freehold,36,,BUTTERCUP CROFT,MARSTON,STAFFORD,STAFFORD,STAFFORDSHIRE,Standard,Addition,52.8351720000,-2.1195080000
