112500,1997-01-16 00:00:00Z,LA10 5EG,Detached,Established,Freehold,DOUGILL,,,FIRBANK,SEDBERGH,SOUTH LAKELAND,CUMBRIA,Standard,Addition,54.3505490000,-2.5852990000
107000,2004-05-28 00:00:00Z,LA8 0BW,Detached,Established,Freehold,HIGH HOUSE COTTAGE,,BECK FOOT,LOWGILL,KENDAL,SOUTH LAKELAND,CUMBRIA,Standard,Addition,54.3592440000,-2.5899780000
117500,2015-02-25 00:00:00Z,LA8 0BW,Detached,Established,Freehold,HIGH HOUSE COTTAGE,,BECK FOOT,LOWGILL,KENDAL,SOUTH LAKELAND,CUMBRIA,Standard,Addition,54.3592440000,-2.5899780000
