296995,2016-12-16 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,106,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
306995,2016-12-16 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,114,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
570000,2016-02-26 00:00:00Z,RG40 1GR,Detached,New Build,Freehold,5,,BAKER CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4097030000,-0.8072360000
304995,2016-12-16 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,110,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
418000,2016-01-29 00:00:00Z,RG40 1GR,Semi-Detached,New Build,Freehold,15,,BAKER CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4097030000,-0.8072360000
475000,2017-11-30 00:00:00Z,RG40 1LA,Terraced,New Build,Freehold,17,,BREMNER WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4072650000,-0.8079760000
555000,2017-12-15 00:00:00Z,RG40 1LB,Detached,New Build,Freehold,47,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
490000,2017-12-15 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,17,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
284995,2017-03-31 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,118,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
287995,2017-03-31 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,122,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
457000,2017-04-28 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,21,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
317000,2017-11-29 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,212,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
285995,2017-04-28 00:00:00Z,RG40 1JZ,Flats/Maisonettes,New Build,Leasehold,FOXLEYES COURT,FLAT 3,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4093190000,-0.8091870000
287995,2017-04-28 00:00:00Z,RG40 1JZ,Flats/Maisonettes,New Build,Leasehold,FOXLEYES COURT,FLAT 2,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4093190000,-0.8091870000
287995,2017-04-28 00:00:00Z,RG40 1JZ,Flats/Maisonettes,New Build,Leasehold,FOXLEYES COURT,FLAT 1,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4093190000,-0.8091870000
306995,2017-04-28 00:00:00Z,RG40 1JZ,Flats/Maisonettes,New Build,Leasehold,FOXLEYES COURT,FLAT 4,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4093190000,-0.8091870000
