168000,2001-09-12 00:00:00Z,NE71 6EY,Detached,Established,Freehold,WEETWOOD HILL FARM,THE GRANARY,,WOOLER,WOOLER,BERWICK-UPON-TWEED,NORTHUMBERLAND,Standard,Addition,55.5633990000,-1.9788860000
300000,2017-03-17 00:00:00Z,NE71 6EX,Semi-Detached,Established,Freehold,WEETWOOD HALL,THE NORTH WING,,,WOOLER,NORTHUMBERLAND,NORTHUMBERLAND,Standard,Addition,55.5614300000,-1.9762640000
370000,2018-01-31 00:00:00Z,NE71 6EX,Semi-Detached,Established,Freehold,WEETWOOD HALL,THE SOUTH WING,,,WOOLER,NORTHUMBERLAND,NORTHUMBERLAND,Standard,Addition,55.5614300000,-1.9762640000
