170000,1997-09-03 00:00:00Z,OX27 0AS,Semi-Detached,Established,Freehold,1,,KENSINGTON VILLAS,MARSH GIBBON,BICESTER,AYLESBURY VALE,BUCKINGHAMSHIRE,Standard,Addition,51.9115600000,-1.0578220000
500000,2020-10-02 00:00:00Z,OX27 0AX,Detached,Established,Freehold,STATION HOUSE,,,MARSH GIBBON,BICESTER,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,Standard,Addition,51.9155930000,-1.0562400000
412500,2021-11-11 00:00:00Z,OX27 0AY,Terraced,New Build,Freehold,4,,BERRY CLOSE,MARSH GIBBON,BICESTER,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,Standard,Addition,51.9155930000,-1.0562400000
395000,2021-11-26 00:00:00Z,OX27 0AY,Terraced,New Build,Freehold,5,,BERRY CLOSE,MARSH GIBBON,BICESTER,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,Standard,Addition,51.9155930000,-1.0562400000
795000,2022-02-04 00:00:00Z,OX27 0AY,Detached,New Build,Freehold,11,,BERRY CLOSE,MARSH GIBBON,BICESTER,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,Standard,Addition,51.9155930000,-1.0562400000
