60000,1995-02-24 00:00:00Z,TS14 6RP,Semi-Detached,New Build,Leasehold,4,,UPSALL COTTAGES,GUISBOROUGH,GUISBOROUGH,LANGBAURGH-ON-TEES,CLEVELAND,Standard,Addition,54.5335070000,-1.1364330000
125000,2003-03-28 00:00:00Z,TS14 6RP,Terraced,New Build,Freehold,9,,UPSALL COTTAGES,GUISBOROUGH,GUISBOROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5335070000,-1.1364330000
122000,2007-02-16 00:00:00Z,TS14 6RP,Terraced,Established,Freehold,8,,UPSALL COTTAGES,GUISBOROUGH,GUISBOROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5335070000,-1.1364330000
57000,2008-11-12 00:00:00Z,TS14 6RP,Terraced,Established,Freehold,3,,UPSALL COTTAGES,GUISBOROUGH,GUISBOROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5335070000,-1.1364330000
147500,2008-04-07 00:00:00Z,TS14 6RP,Terraced,Established,Freehold,7,,UPSALL COTTAGES,GUISBOROUGH,GUISBOROUGH,REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,Standard,Addition,54.5335070000,-1.1364330000
