160000,1996-08-23 00:00:00Z,TQ12 6HL,Semi-Detached,Established,Freehold,ELMWOOD,,BELLE VUE,LIVERTON,NEWTON ABBOT,TEIGNBRIDGE,DEVON,Standard,Addition,50.5703260000,-3.6770720000
171000,1999-04-16 00:00:00Z,TQ12 6HL,Semi-Detached,Established,Freehold,ELMWOOD,,BELLE VUE,LIVERTON,NEWTON ABBOT,TEIGNBRIDGE,DEVON,Standard,Addition,50.5703260000,-3.6770720000
225500,2000-07-14 00:00:00Z,TQ12 6HL,Semi-Detached,Established,Freehold,ELMWOOD,,BELLE VUE,LIVERTON,NEWTON ABBOT,TEIGNBRIDGE,DEVON,Standard,Addition,50.5703260000,-3.6770720000
440000,2012-07-18 00:00:00Z,TQ12 6HL,Terraced,Established,Freehold,ELMWOOD,,BELLE VUE,LIVERTON,NEWTON ABBOT,TEIGNBRIDGE,DEVON,Standard,Addition,50.5703260000,-3.6770720000
570000,2018-06-18 00:00:00Z,TQ12 6HL,Terraced,Established,Freehold,TEMPLER HOUSE,,,LIVERTON,NEWTON ABBOT,TEIGNBRIDGE,DEVON,Standard,Addition,50.5703260000,-3.6770720000
