530000,2003-06-10 00:00:00Z,CW9 6LY,Detached,Established,Freehold,HAWTHORN COTTAGE,,SACK LANE,ASTON BY BUDWORTH,NORTHWICH,MACCLESFIELD,CHESHIRE,Standard,Addition,53.3244060000,-2.4706550000
476000,2015-04-30 00:00:00Z,CW9 6LY,Terraced,Established,Freehold,3 THE ASHES,,SACK LANE,ASTON BY BUDWORTH,NORTHWICH,CHESHIRE EAST,CHESHIRE EAST,Standard,Addition,53.3244060000,-2.4706550000
540000,2018-03-08 00:00:00Z,CW9 6LY,Terraced,Established,Freehold,3 THE ASHES,,SACK LANE,ASTON BY BUDWORTH,NORTHWICH,CHESHIRE EAST,CHESHIRE EAST,Standard,Addition,53.3244060000,-2.4706550000
