495000,2008-02-20 00:00:00Z,NE66 4RS,Detached,Established,Freehold,LOW BARTON FARM,,,WHITTINGHAM,ALNWICK,ALNWICK,NORTHUMBERLAND,Standard,Addition,55.4082610000,-1.8612620000
160000,2019-07-30 00:00:00Z,NE66 4RP,Other,Established,Freehold,THE OLD RAILWAY STATION,,,WHITTINGHAM,ALNWICK,NORTHUMBERLAND,NORTHUMBERLAND,Additional,Addition,55.4031400000,-1.8602980000
380000,2021-03-25 00:00:00Z,NE66 4RP,Other,Established,Freehold,THE OLD RAILWAY STATION,,,WHITTINGHAM,ALNWICK,NORTHUMBERLAND,NORTHUMBERLAND,Additional,Addition,55.4031400000,-1.8602980000
