125000,1997-04-25 00:00:00Z,IP18 6SH,Detached,Established,Freehold,CREEK CABIN,,HALESWORTH ROAD,REYDON,SOUTHWOLD,SUFFOLK COASTAL,SUFFOLK,Standard,Addition,52.3335970000,1.6257820000
155000,1998-07-13 00:00:00Z,IP18 6SQ,Semi-Detached,Established,Freehold,CAVE COTTAGES,1,HALESWORTH ROAD,REYDON,SOUTHWOLD,WAVENEY,SUFFOLK,Standard,Addition,52.3366900000,1.6293390000
330000,2007-02-28 00:00:00Z,IP18 6SQ,Semi-Detached,Established,Freehold,CAVE COTTAGES,1,HALESWORTH ROAD,REYDON,SOUTHWOLD,WAVENEY,SUFFOLK,Standard,Addition,52.3366900000,1.6293390000
