395000,2008-05-01 00:00:00Z,SK17 0BA,Detached,Established,Freehold,NEWHAVEN COTTAGE FARM,,,HARTINGTON,BUXTON,DERBYSHIRE DALES,DERBYSHIRE,Standard,Addition,53.1499700000,-1.7670330000
64000,2016-12-12 00:00:00Z,SK17 0BA,Other,Established,Leasehold,JUG & GLASS,,,HARTINGTON,BUXTON,DERBYSHIRE DALES,DERBYSHIRE,Additional,Addition,53.1499700000,-1.7670330000
25000,2018-10-11 00:00:00Z,SK17 0BA,Other,Established,Leasehold,JUG & GLASS,,,HARTINGTON,BUXTON,DERBYSHIRE DALES,DERBYSHIRE,Additional,Addition,53.1499700000,-1.7670330000
