56500,2003-11-28 00:00:00Z,CB25 0BQ,Terraced,Established,Freehold,UNIT 3,,BROADS ROAD,BURWELL,CAMBRIDGE,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Standard,Addition,52.2954310000,0.3376950000
11500,2015-11-10 00:00:00Z,CB25 0BT,Other,Established,Leasehold,8,,BROADS ROAD BUSINESS PARK,BURWELL,CAMBRIDGE,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.2928830000,0.3304450000
110000,2018-09-12 00:00:00Z,CB25 0BT,Other,Established,Freehold,4,,BROADS ROAD BUSINESS PARK,BURWELL,CAMBRIDGE,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.2928830000,0.3304450000
152500,2019-11-11 00:00:00Z,CB25 0BT,Other,Established,Freehold,4,,BROADS ROAD BUSINESS PARK,BURWELL,CAMBRIDGE,EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,Additional,Addition,52.2928830000,0.3304450000
