145000,2015-09-25 00:00:00Z,ST6 4PB,Other,Established,Freehold,UNIT 4-5,,CHEMICAL LANE,,STOKE-ON-TRENT,NEWCASTLE-UNDER-LYME,STAFFORDSHIRE,Additional,Addition,53.0512500000,-2.2243420000
1900000,2018-12-07 00:00:00Z,ST6 4PN,Other,Established,Freehold,3,,COPP LANE,,STOKE-ON-TRENT,STOKE-ON-TRENT,STOKE-ON-TRENT,Additional,Addition,53.0547890000,-2.2204810000
51000,2019-07-31 00:00:00Z,ST6 4PN,Terraced,Established,Freehold,5,,COPP LANE,,STOKE-ON-TRENT,STOKE-ON-TRENT,STOKE-ON-TRENT,Standard,Addition,53.0547890000,-2.2204810000
