136000,2000-06-23 00:00:00Z,WV16 4RR,Detached,Established,Freehold,RIVERSIDE BUNGALOW,,MUCKLEY CROSS,ACTON ROUND,BRIDGNORTH,BRIDGNORTH,SHROPSHIRE,Standard,Addition,52.5571300000,-2.5158510000
375000,2017-04-19 00:00:00Z,WV16 4RS,Other,Established,Freehold,POPLAR COTTAGE,,ALDENHAM PARK,MORVILLE,BRIDGNORTH,SHROPSHIRE,SHROPSHIRE,Additional,Addition,52.5550560000,-2.5131720000
610000,2017-09-15 00:00:00Z,WV16 4RS,Detached,Established,Freehold,ASTON HOUSE,,ALDENHAM PARK,MORVILLE,BRIDGNORTH,SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.5550560000,-2.5131720000
