275000,1996-05-31 00:00:00Z,HP5 1TP,Detached,Established,Freehold,WILLOW COTTAGE,,BOIS MILL,CHESHAM,CHESHAM,CHILTERN,BUCKINGHAMSHIRE,Standard,Addition,51.6845230000,-0.5780010000
450000,2007-01-05 00:00:00Z,HP5 1TS,Semi-Detached,Established,Freehold,GRAVEL DELL COTTAGES,20,LATIMER ROAD,CHESHAM,CHESHAM,CHILTERN,BUCKINGHAMSHIRE,Standard,Addition,51.6807400000,-0.5703880000
340000,2007-04-30 00:00:00Z,HP5 1TS,Semi-Detached,Established,Freehold,GRAVEL DELL COTTAGES,19,LATIMER ROAD,CHESHAM,CHESHAM,CHILTERN,BUCKINGHAMSHIRE,Standard,Addition,51.6807400000,-0.5703880000
