760000,2013-12-12 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C6-4,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
470000,2013-12-06 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A1-2,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5360130000,-0.1226870000
915000,2013-12-06 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C3-5,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5360130000,-0.1226870000
1280000,2013-11-29 00:00:00Z,N1C 4AT,Flats/Maisonettes,Established,Leasehold,"ARTHOUSE, 1",APARTMENT B5-4,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
845000,2013-12-11 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A4-5,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
915000,2013-11-25 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B6-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
823200,2013-12-11 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B5-5,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
455000,2013-12-18 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C2-8,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
790000,2013-12-04 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B1-5,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
500000,2013-12-03 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B1-3,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
745000,2013-12-06 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A3-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
674800,2013-12-03 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A1-3,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
535000,2013-12-06 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B4-2,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
740000,2013-12-17 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C4-7,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1750000,2013-11-29 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A7-2,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
450000,2013-12-09 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C4-4,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1165000,2013-12-05 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C2-5,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1035050,2013-12-04 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B1-4,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
775000,2013-12-05 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B2-6,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1140000,2013-12-09 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,ARTHOUSE 1,APARTMENT C4-5,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
896700,2013-12-06 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B4-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
875000,2013-11-29 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B6-3,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1145000,2013-12-20 00:00:00Z,N1C 4AS,Flats/Maisonettes,Established,Leasehold,"ARTHOUSE, 1",APARTMENT A14,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5360130000,-0.1226870000
795000,2013-12-11 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C5-6,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
764000,2013-12-09 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A2-5,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
750000,2013-12-04 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A1-5,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
405000,2013-12-11 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B2-2,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
