170000,1996-10-16 00:00:00Z,WR6 5AQ,Semi-Detached,New Build,Freehold,GROVES HEAD COTTAGE,,,ACTON BEAUCHAMP,WORCESTER,MALVERN HILLS,WORCESTERSHIRE,Standard,Addition,52.1486520000,-2.4746070000
174000,1998-08-14 00:00:00Z,WR6 5BG,Detached,Established,Freehold,BROOK HOUSE,,,BISHOPS FROME,WORCESTER,HEREFORDSHIRE,HEREFORDSHIRE,Standard,Addition,52.1432820000,-2.4775610000
370000,2015-01-28 00:00:00Z,WR6 5AQ,Detached,Established,Freehold,RHEA COTTAGE,,,ACTON BEAUCHAMP,WORCESTER,HEREFORDSHIRE,HEREFORDSHIRE,Standard,Addition,52.1486520000,-2.4746070000
560000,2015-04-27 00:00:00Z,WR6 5AQ,Detached,Established,Freehold,GROVESHEAD,,,ACTON BEAUCHAMP,WORCESTER,HEREFORDSHIRE,HEREFORDSHIRE,Standard,Addition,52.1486520000,-2.4746070000
425000,2019-06-27 00:00:00Z,WR6 5AQ,Detached,Established,Freehold,RHEA COTTAGE,,,ACTON BEAUCHAMP,WORCESTER,HEREFORDSHIRE,HEREFORDSHIRE,Standard,Addition,52.1486520000,-2.4746070000
62000,2020-07-17 00:00:00Z,WR6 5BG,Other,Established,Freehold,BROOK HOUSE,,,BISHOPS FROME,WORCESTER,HEREFORDSHIRE,HEREFORDSHIRE,Additional,Addition,52.1432820000,-2.4775610000
