134000,2011-04-08 00:00:00Z,YO43 3EZ,Terraced,Established,Freehold,1,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
187500,2012-11-16 00:00:00Z,YO43 3EZ,Detached,Established,Freehold,9,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
277500,2012-04-26 00:00:00Z,YO43 3EZ,Detached,Established,Freehold,11,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
180000,2014-02-20 00:00:00Z,YO43 3EZ,Detached,Established,Freehold,8,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
210000,2014-08-01 00:00:00Z,YO43 3EZ,Detached,Established,Freehold,12,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
213000,2015-07-03 00:00:00Z,YO43 3EZ,Detached,Established,Freehold,15,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
189000,2015-05-27 00:00:00Z,YO43 3EZ,Detached,Established,Freehold,7,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
152000,2016-04-29 00:00:00Z,YO43 3EZ,Terraced,Established,Freehold,1,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
166000,2017-12-20 00:00:00Z,YO43 3EZ,Terraced,Established,Freehold,1,,SANDFIELD GREEN,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621030000,-0.6800140000
1500000,2017-04-21 00:00:00Z,YO43 3GR,Other,Established,Freehold,10,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8634560000,-0.6819410000
199950,2018-03-29 00:00:00Z,YO43 3GW,Terraced,New Build,Freehold,2,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
197950,2018-04-26 00:00:00Z,YO43 3GW,Terraced,New Build,Freehold,4,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
209950,2018-06-05 00:00:00Z,YO43 3GW,Terraced,New Build,Freehold,1,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
204950,2018-09-21 00:00:00Z,YO43 3GW,Terraced,New Build,Freehold,8,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
205960,2018-12-21 00:00:00Z,YO43 3GW,Terraced,New Build,Freehold,5,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8621660000,-0.6815400000
204200,2018-10-03 00:00:00Z,YO43 3GW,Terraced,New Build,Freehold,6,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8621660000,-0.6815400000
204200,2018-10-03 00:00:00Z,YO43 3GW,Terraced,New Build,Freehold,10,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8621660000,-0.6815400000
259950,2018-12-21 00:00:00Z,YO43 3GT,Detached,New Build,Freehold,2,,MAPLE CLOSE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8628360000,-0.6803790000
75600,2018-05-02 00:00:00Z,YO43 3GS,Other,New Build,Freehold,2,,LIME CLOSE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8631230000,-0.6819210000
275500,2018-06-29 00:00:00Z,YO43 3GW,Detached,New Build,Freehold,11,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
294950,2018-10-31 00:00:00Z,YO43 3GT,Detached,New Build,Freehold,5,,MAPLE CLOSE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8628360000,-0.6803790000
239950,2018-11-01 00:00:00Z,YO43 3GT,Detached,New Build,Freehold,4,,MAPLE CLOSE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8628360000,-0.6803790000
249950,2018-11-16 00:00:00Z,YO43 3GU,Detached,New Build,Freehold,2,,CHESTNUT CLOSE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8626230000,-0.6805990000
259950,2018-10-31 00:00:00Z,YO43 3GW,Detached,New Build,Freehold,23,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
239950,2018-11-29 00:00:00Z,YO43 3GW,Detached,New Build,Freehold,18,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
299950,2018-10-31 00:00:00Z,YO43 3GT,Detached,New Build,Freehold,1,,MAPLE CLOSE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8628360000,-0.6803790000
249950,2018-11-30 00:00:00Z,YO43 3GT,Detached,New Build,Freehold,3,,MAPLE CLOSE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8628360000,-0.6803790000
209950,2018-12-20 00:00:00Z,YO43 3GR,Semi-Detached,New Build,Freehold,31,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8634560000,-0.6819410000
197500,2018-06-27 00:00:00Z,YO43 3GW,Terraced,New Build,Freehold,3,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
289950,2018-06-29 00:00:00Z,YO43 3GW,Detached,New Build,Freehold,9,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
200000,2018-06-21 00:00:00Z,YO43 3GW,Terraced,New Build,Freehold,12,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
219950,2018-07-31 00:00:00Z,YO43 3GW,Detached,New Build,Freehold,14,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
189950,2019-09-30 00:00:00Z,YO43 3GR,Semi-Detached,New Build,Freehold,25,,CHAPMAN DRIVE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8634560000,-0.6819410000
219950,2019-10-31 00:00:00Z,YO43 3GW,Detached,New Build,Freehold,19,,OAK ROAD,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Standard,Addition,53.8621660000,-0.6815400000
50385,2019-03-08 00:00:00Z,YO43 3GS,Terraced,New Build,Freehold,9,,LIME CLOSE,MARKET WEIGHTON,YORK,EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,Additional,Addition,53.8631230000,-0.6819210000
