130000,1996-05-03 00:00:00Z,DL8 3LR,Detached,Established,Freehold,RIGG HOUSE WEST,,,HAWES,HAWES,CRAVEN,NORTH YORKSHIRE,Standard,Addition,54.3222720000,-2.2387270000
200000,2000-01-20 00:00:00Z,DL8 3LR,Detached,Established,Freehold,RIGG HOUSE WEST,,,,HAWES,CRAVEN,NORTH YORKSHIRE,Standard,Addition,54.3222720000,-2.2387270000
285000,2003-04-04 00:00:00Z,DL8 3LR,Detached,Established,Freehold,RIGG HOUSE WEST,,,HAWES,HAWES,CRAVEN,NORTH YORKSHIRE,Standard,Addition,54.3222720000,-2.2387270000
595000,2018-12-12 00:00:00Z,DL8 3LR,Other,Established,Freehold,RIGG HOUSE,,,,HAWES,RICHMONDSHIRE,NORTH YORKSHIRE,Additional,Addition,54.3222720000,-2.2387270000
