349000,2003-02-28 00:00:00Z,FY8 4LU,Detached,Established,Freehold,SMEATH HILL FARM,,BRYNINGHALL LANE,LYTHAM ST. ANNES,LYTHAM ST. ANNES,FYLDE,LANCASHIRE,Standard,Addition,53.7625200000,-2.9299220000
475000,2018-11-05 00:00:00Z,FY8 4LY,Detached,Established,Freehold,LOWOOD,,MOSS SIDE LANE,MOSS SIDE,LYTHAM ST ANNES,FYLDE,LANCASHIRE,Standard,Addition,53.7678970000,-2.9296760000
450000,2021-01-15 00:00:00Z,FY8 4LY,Detached,Established,Freehold,EAGLESFIELD,,MOSS SIDE LANE,MOSS SIDE,LYTHAM ST ANNES,FYLDE,LANCASHIRE,Standard,Addition,53.7678970000,-2.9296760000
