73500,1997-07-18 00:00:00Z,SY9 5EU,Semi-Detached,Established,Freehold,6,,STANK LANE,BISHOPS CASTLE,BISHOPS CASTLE,SOUTH SHROPSHIRE,SHROPSHIRE,Standard,Addition,52.4802210000,-2.9757950000
249950,2016-09-29 00:00:00Z,SY9 5EY,Other,Established,Freehold,OAKLEY BARN,,STANK LANE,,BISHOPS CASTLE,SHROPSHIRE,SHROPSHIRE,Additional,Addition,52.4872330000,-2.9769370000
496000,2017-11-23 00:00:00Z,SY9 5EY,Other,Established,Freehold,OAKLEY FARM,,STANK LANE,,BISHOPS CASTLE,SHROPSHIRE,SHROPSHIRE,Additional,Addition,52.4872330000,-2.9769370000
