390000,2001-07-31 00:00:00Z,RG20 8AX,Semi-Detached,Established,Freehold,1,,WINTERBOURNE WOOD,WINTERBOURNE,NEWBURY,WEST BERKSHIRE,WEST BERKSHIRE,Standard,Addition,51.4432620000,-1.3612090000
553000,2003-07-25 00:00:00Z,RG20 8AY,Detached,Established,Freehold,MUD HALL COTTAGES,,WINTERBOURNE ROAD,BOXFORD,NEWBURY,WEST BERKSHIRE,WEST BERKSHIRE,Standard,Addition,51.4437790000,-1.3637480000
1050000,2012-02-15 00:00:00Z,RG20 8AY,Detached,Established,Freehold,MUD HALL COTTAGES,,WINTERBOURNE ROAD,BOXFORD,NEWBURY,WEST BERKSHIRE,WEST BERKSHIRE,Standard,Addition,51.4437790000,-1.3637480000
