22750,1995-01-16 00:00:00Z,M5 4LF,Flats/Maisonettes,New Build,Leasehold,ALEXANDER COURT,FLAT 25,ROWLAND STREET,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4773450000,-2.2835690000
30000,1995-04-11 00:00:00Z,M5 5HY,Terraced,Established,Freehold,16,,EMERSON STREET,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4861500000,-2.3071380000
37000,1995-07-28 00:00:00Z,M5 3JQ,Semi-Detached,Established,Leasehold,13,,SUMMERSEAT CLOSE,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4751110000,-2.2820330000
24421,1995-09-15 00:00:00Z,M5 5ER,Terraced,Established,Freehold,64,,TOOTAL DRIVE,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4851840000,-2.3119530000
34000,1995-01-11 00:00:00Z,M5 3FU,Terraced,Established,Leasehold,12,,TREELANDS WALK,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4684390000,-2.2787950000
28000,1995-06-02 00:00:00Z,M5 5ES,Terraced,Established,Freehold,7,,BARFF ROAD,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4855450000,-2.3115490000
30500,1995-05-02 00:00:00Z,M5 4UW,Flats/Maisonettes,Established,Leasehold,KIELDER SQUARE,FLAT 102,ECCLES NEW ROAD,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4802840000,-2.2913340000
28500,1995-04-28 00:00:00Z,M5 5ET,Terraced,Established,Freehold,51,,KENNEDY ROAD,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4856910000,-2.3107810000
39950,1995-03-03 00:00:00Z,M5 5AD,Flats/Maisonettes,Established,Leasehold,SQUIRES COURT,FLAT 11,CANTERBURY GARDENS,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4849080000,-2.3278350000
22750,1995-01-23 00:00:00Z,M5 4LF,Flats/Maisonettes,New Build,Leasehold,ALEXANDER COURT,FLAT 5,ROWLAND STREET,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4773450000,-2.2835690000
25000,1995-12-15 00:00:00Z,M5 5JZ,Terraced,Established,Freehold,9,,MARTIN STREET,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4851180000,-2.3026700000
15000,1995-07-31 00:00:00Z,M5 5FS,Terraced,Established,Freehold,54,,BARFF ROAD,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4856810000,-2.3111580000
36400,1995-12-15 00:00:00Z,M5 3WR,Terraced,New Build,Leasehold,5,,BRAMBLE AVENUE,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4728420000,-2.2719690000
41000,1995-08-25 00:00:00Z,M5 3SA,Terraced,Established,Freehold,64,,CORONATION STREET,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4769370000,-2.2736220000
27950,1995-02-17 00:00:00Z,M5 4UP,Flats/Maisonettes,Established,Leasehold,MELMERBY COURT,FLAT 74,ECCLES NEW ROAD,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4806740000,-2.2896040000
44000,1995-12-15 00:00:00Z,M5 5LY,Semi-Detached,Established,Freehold,14,,BUILE HILL DRIVE,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4886050000,-2.3029810000
46000,1995-09-22 00:00:00Z,M5 5LW,Semi-Detached,Established,Freehold,3,,SHERWOOD CLOSE,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4877600000,-2.3030950000
40950,1995-11-30 00:00:00Z,M5 3WR,Semi-Detached,New Build,Leasehold,11,,BRAMBLE AVENUE,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4728420000,-2.2719690000
36400,1995-12-15 00:00:00Z,M5 3WR,Semi-Detached,New Build,Leasehold,7,,BRAMBLE AVENUE,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4728420000,-2.2719690000
39000,1995-04-28 00:00:00Z,M5 5LL,Semi-Detached,Established,Freehold,27,,THE MEAD,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4862840000,-2.3027680000
39250,1995-07-28 00:00:00Z,M5 3WL,Terraced,New Build,Freehold,5,,WHIMBERRY CLOSE,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4732810000,-2.2725140000
43950,1995-12-08 00:00:00Z,M5 4QF,Detached,Established,Leasehold,5,,WYTHOP GARDENS,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4786650000,-2.2840150000
32500,1995-09-22 00:00:00Z,M5 5HR,Terraced,Established,Freehold,2,,WELLINGTON TERRACE,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4850270000,-2.3068580000
25000,1995-09-22 00:00:00Z,M5 5JT,Terraced,Established,Freehold,12,,BALTIC STREET,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4849320000,-2.3016130000
31500,1995-01-25 00:00:00Z,M5 4UP,Flats/Maisonettes,Established,Leasehold,MELMERBY COURT,FLAT 51,ECCLES NEW ROAD,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4806740000,-2.2896040000
40500,1995-09-29 00:00:00Z,M5 3WL,Semi-Detached,New Build,Leasehold,17,,WHIMBERRY CLOSE,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4732810000,-2.2725140000
31000,1995-04-07 00:00:00Z,M5 4RX,Terraced,Established,Freehold,99 - 101,,ECCLES NEW ROAD,,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4793940000,-2.2866260000
10000,1995-09-01 00:00:00Z,M5 5JY,Terraced,Established,Freehold,2,,CEDRIC STREET,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4847320000,-2.3026520000
37000,1995-08-11 00:00:00Z,M5 5BW,Flats/Maisonettes,Established,Leasehold,RIDDELL COURT,FLAT 22,SHEADER DRIVE,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4830830000,-2.3110190000
16000,1995-09-13 00:00:00Z,M5 5LA,Terraced,Established,Freehold,59,,DERBY ROAD,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4849240000,-2.3013120000
22750,1995-01-16 00:00:00Z,M5 4LF,Flats/Maisonettes,New Build,Leasehold,ALEXANDER COURT,FLAT 3,ROWLAND STREET,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4773450000,-2.2835690000
32500,1995-01-27 00:00:00Z,M5 4UT,Flats/Maisonettes,Established,Leasehold,REDMIRES COURT,FLAT 113,ECCLES NEW ROAD,SALFORD,SALFORD,SALFORD,GREATER MANCHESTER,Standard,Addition,53.4803220000,-2.2867690000
