384995,2018-04-30 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,4,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
429995,2018-04-27 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,17,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
499995,2018-06-29 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,15,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
321950,2018-09-28 00:00:00Z,TS22 5FJ,Detached,Established,Freehold,7,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
200000,2018-03-29 00:00:00Z,TS22 5FQ,Semi-Detached,New Build,Freehold,1,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
333995,2018-10-26 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,8,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
329995,2018-07-20 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,16,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
333995,2018-08-31 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,11,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
187000,2018-07-27 00:00:00Z,TS22 5FQ,Semi-Detached,New Build,Freehold,9,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
429995,2018-03-16 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,19,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
279950,2018-12-12 00:00:00Z,TS22 5FJ,Detached,New Build,Freehold,22,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
256452,2018-11-08 00:00:00Z,TS22 5FJ,Detached,New Build,Freehold,16,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
464950,2018-06-29 00:00:00Z,TS22 5FJ,Detached,New Build,Freehold,1,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
345950,2018-08-17 00:00:00Z,TS22 5FJ,Detached,New Build,Freehold,5,,ROSE VALE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6401080000,-1.3249720000
235000,2018-10-26 00:00:00Z,TS22 5FQ,Semi-Detached,Established,Freehold,28,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Additional,Addition,54.6404740000,-1.3278630000
